Date,Open,High,Low,Close,Adj Close,Volume
2022-11-22,26.719999,27.059999,25.530001,27.059999,27.059999,44857900
2022-11-23,26.610001,27.410000,26.480000,27.070000,27.070000,17851100
2022-11-24,27.100000,28.410000,26.940001,28.120001,28.120001,13776300
2022-11-25,28.080000,28.080000,27.219999,27.490000,27.490000,13019700
2022-11-28,27.379999,28.370001,27.219999,28.170000,28.170000,12320700
2022-11-29,28.400000,29.959999,28.260000,29.379999,29.379999,24509100
2022-11-30,29.549999,30.480000,29.500000,30.389999,30.389999,29533500
2022-12-01,30.219999,30.549999,29.250000,29.250000,29.250000,12067600
2022-12-02,29.240000,30.450001,29.020000,29.629999,29.629999,18444400
2022-12-05,29.700001,30.389999,29.170000,29.230000,29.230000,12452000
2022-12-06,29.500000,30.000000,28.959999,29.180000,29.180000,10532200
2022-12-07,29.170000,29.590000,28.719999,28.740000,28.740000,13339200
2022-12-08,28.740000,29.309999,27.950001,28.120001,28.120001,13407800
2022-12-09,28.240000,28.709999,27.799999,28.059999,28.059999,10363900
2022-12-12,28.000000,28.080000,26.610001,27.299999,27.299999,18581300
2022-12-13,27.459999,27.709999,26.879999,26.930000,26.930000,22207900
2022-12-14,26.230000,26.360001,23.610001,24.290001,24.290001,69775500
2022-12-15,23.799999,25.440001,23.709999,24.910000,24.910000,24269200
2022-12-16,24.860001,25.049999,24.320000,24.980000,24.980000,28123600
2022-12-19,24.900000,25.639999,24.690001,25.549999,25.549999,12963900
2022-12-20,25.530001,26.340000,25.420000,26.170000,26.170000,15549900
2022-12-21,26.559999,26.860001,25.910000,26.860001,26.860001,20946900
2022-12-22,27.100000,27.719999,26.680000,27.170000,27.170000,14139200
2022-12-23,27.389999,28.600000,27.320000,28.559999,28.559999,12490700
